
Tiempo	Valor integrado
     1.91009	     1.33484
     1.91638	     1.34075
     1.92266	     1.34664
     1.92894	     1.35252
     1.93523	     1.35839
     1.94151	     1.36425
     1.94779	     1.37008
     1.95408	     1.37591
     1.96036	     1.38172
     1.96664	     1.38751
     1.97292	     1.39329
     1.97921	     1.39906
     1.98549	     1.40480
     1.99177	     1.41053
     1.99806	     1.41625
     2.00434	     1.42195
     2.01062	     1.42763
     2.01691	     1.43330
     2.02319	     1.43895
     2.02947	     1.44458
     2.03576	     1.45019
     2.04204	     1.45579
     2.04832	     1.46137
     2.05461	     1.46693
     2.06089	     1.47247
     2.06717	     1.47799
     2.07346	     1.48349
     2.07974	     1.48898
     2.08602	     1.49445
     2.09231	     1.49989
     2.09859	     1.50532
     2.10487	     1.51072
     2.11116	     1.51610
     2.11744	     1.52147
     2.12372	     1.52681
     2.13000	     1.53213
     2.13629	     1.53744
     2.14257	     1.54271
     2.14885	     1.54797
     2.15514	     1.55321
     2.16142	     1.55843
     2.16770	     1.56362
     2.17399	     1.56880
     2.18027	     1.57394
     2.18655	     1.57907
     2.19284	     1.58417
     2.19912	     1.58925
     2.20540	     1.59431
     2.21169	     1.59934
     2.21797	     1.60435
     2.22425	     1.60933
     2.23054	     1.61430
     2.23682	     1.61924
     2.24310	     1.62415
     2.24939	     1.62904
     2.25567	     1.63390
     2.26195	     1.63874
     2.26824	     1.64355
     2.27452	     1.64834
     2.28080	     1.65310
     2.28708	     1.65784
     2.29337	     1.66255
     2.29965	     1.66723
     2.30593	     1.67189
     2.31222	     1.67652
     2.31850	     1.68113
     2.32478	     1.68570
     2.33107	     1.69025
     2.33735	     1.69477
     2.34363	     1.69927
     2.34992	     1.70373
     2.35620	     1.70818
     2.36248	     1.71259
     2.36877	     1.71697
     2.37505	     1.72133
     2.38133	     1.72566
     2.38762	     1.72995
     2.39390	     1.73422
     2.40018	     1.73846
     2.40647	     1.74267
     2.41275	     1.74686
     2.41903	     1.75101
     2.42532	     1.75513
     2.43160	     1.75922
     2.43788	     1.76329
     2.44416	     1.76732
     2.45045	     1.77132
     2.45673	     1.77529
     2.46301	     1.77923
     2.46930	     1.78314
     2.47558	     1.78702
     2.48186	     1.79086
     2.48815	     1.79468
     2.49443	     1.79846
     2.50071	     1.80221
     2.50700	     1.80593
     2.51328	     1.80962
     2.51956	     1.81327
     2.52585	     1.81690
     2.53213	     1.82049
     2.53841	     1.82406
     2.54470	     1.82759
     2.55098	     1.83108
     2.55726	     1.83454
     2.56355	     1.83797
     2.56983	     1.84137
     2.57611	     1.84473
     2.58240	     1.84807
     2.58868	     1.85136
     2.59496	     1.85462
     2.60124	     1.85785
     2.60753	     1.86105
     2.61381	     1.86421
     2.62009	     1.86734
     2.62638	     1.87043
     2.63266	     1.87349
     2.63894	     1.87652
     2.64523	     1.87951
     2.65151	     1.88246
     2.65779	     1.88538
     2.66408	     1.88826
     2.67036	     1.89111
     2.67664	     1.89393
     2.68293	     1.89670
     2.68921	     1.89945
     2.69549	     1.90216
     2.70178	     1.90483
     2.70806	     1.90747
     2.71434	     1.91007
     2.72063	     1.91263
     2.72691	     1.91516
     2.73319	     1.91765
     2.73948	     1.92011
     2.74576	     1.92253
     2.75204	     1.92491
     2.75832	     1.92725
     2.76461	     1.92956
     2.77089	     1.93184
     2.77717	     1.93408
     2.78346	     1.93627
     2.78974	     1.93844
     2.79602	     1.94056
     2.80231	     1.94265
     2.80859	     1.94469
     2.81487	     1.94671
     2.82116	     1.94868
     2.82744	     1.95062
     2.83372	     1.95252
     2.84001	     1.95439
     2.84629	     1.95622
     2.85257	     1.95801
     2.85886	     1.95976
     2.86514	     1.96146
     2.87142	     1.96314
     2.87771	     1.96477
     2.88399	     1.96637
     2.89027	     1.96792
     2.89656	     1.96944
     2.90284	     1.97093
     2.90912	     1.97237
     2.91540	     1.97378
     2.92169	     1.97515
     2.92797	     1.97648
     2.93425	     1.97777
     2.94054	     1.97902
     2.94682	     1.98023
     2.95310	     1.98141
     2.95939	     1.98254
     2.96567	     1.98364
     2.97195	     1.98470
     2.97824	     1.98572
     2.98452	     1.98670
     2.99080	     1.98764
     2.99709	     1.98854
     3.00337	     1.98941
     3.00965	     1.99023
     3.01594	     1.99101
     3.02222	     1.99176
     3.02850	     1.99247
     3.03479	     1.99313
     3.04107	     1.99376
     3.04735	     1.99435
     3.05364	     1.99490
     3.05992	     1.99541
     3.06620	     1.99588
     3.07248	     1.99631
     3.07877	     1.99670
     3.08505	     1.99705
     3.09133	     1.99737
     3.09762	     1.99764
     3.10390	     1.99787
     3.11018	     1.99806
     3.11647	     1.99822
     3.12275	     1.99833
     3.12903	     1.99841
     3.13532	     1.99845
     3.14160	     1.99845
     3.14788	     1.99841
     3.15417	     1.99833
     3.16045	     1.99822
     3.16673	     1.99806
     3.17302	     1.99787
     3.17930	     1.99764
     3.18558	     1.99737
     3.19187	     1.99705
     3.19815	     1.99670
     3.20443	     1.99631
     3.21072	     1.99588
     3.21700	     1.99541
     3.22328	     1.99490
     3.22956	     1.99435
     3.23585	     1.99376
     3.24213	     1.99313
     3.24841	     1.99247
     3.25470	     1.99176
     3.26098	     1.99101
     3.26726	     1.99023
     3.27355	     1.98941
     3.27983	     1.98854
     3.28611	     1.98764
     3.29240	     1.98670
     3.29868	     1.98572
     3.30496	     1.98470
     3.31125	     1.98364
     3.31753	     1.98254
     3.32381	     1.98141
     3.33010	     1.98023
     3.33638	     1.97902
     3.34266	     1.97777
     3.34895	     1.97648
     3.35523	     1.97515
     3.36151	     1.97378
     3.36780	     1.97237
     3.37408	     1.97093
     3.38036	     1.96944
     3.38664	     1.96792
     3.39293	     1.96637
     3.39921	     1.96477
     3.40549	     1.96314
     3.41178	     1.96146
     3.41806	     1.95976
     3.42434	     1.95801
     3.43063	     1.95622
     3.43691	     1.95439
     3.44319	     1.95252
     3.44948	     1.95062
     3.45576	     1.94868
     3.46204	     1.94671
     3.46833	     1.94469
     3.47461	     1.94265
     3.48089	     1.94056
     3.48718	     1.93844
     3.49346	     1.93627
     3.49974	     1.93408
     3.50603	     1.93184
     3.51231	     1.92956
     3.51859	     1.92725
     3.52488	     1.92491
     3.53116	     1.92253
     3.53744	     1.92011
     3.54372	     1.91765
     3.55001	     1.91516
     3.55629	     1.91263
     3.56257	     1.91007
     3.56886	     1.90747
     3.57514	     1.90483
     3.58142	     1.90216
     3.58771	     1.89945
     3.59399	     1.89670
     3.60027	     1.89393
     3.60656	     1.89111
     3.61284	     1.88826
     3.61912	     1.88538
     3.62541	     1.88246
     3.63169	     1.87951
     3.63797	     1.87652
     3.64426	     1.87349
     3.65054	     1.87043
     3.65682	     1.86734
     3.66311	     1.86421
     3.66939	     1.86105
     3.67567	     1.85785
     3.68196	     1.85462
     3.68824	     1.85136
     3.69452	     1.84807
     3.70080	     1.84473
     3.70709	     1.84137
     3.71337	     1.83797
     3.71965	     1.83454
     3.72594	     1.83108
     3.73222	     1.82759
     3.73850	     1.82406
     3.74479	     1.82049
     3.75107	     1.81690
     3.75735	     1.81327
     3.76364	     1.80962
     3.76992	     1.80593
     3.77620	     1.80221
     3.78249	     1.79846
     3.78877	     1.79468
     3.79505	     1.79086
     3.80134	     1.78702
     3.80762	     1.78314
     3.81390	     1.77923
     3.82019	     1.77529
     3.82647	     1.77132
     3.83275	     1.76732
     3.83904	     1.76329
     3.84532	     1.75922
     3.85160	     1.75513
     3.85788	     1.75101
     3.86417	     1.74686
     3.87045	     1.74267
     3.87673	     1.73846
     3.88302	     1.73422
     3.88930	     1.72995
     3.89558	     1.72566
     3.90187	     1.72133
     3.90815	     1.71697
     3.91443	     1.71259
     3.92072	     1.70818
     3.92700	     1.70373
     3.93328	     1.69927
     3.93957	     1.69477
     3.94585	     1.69025
     3.95213	     1.68570
     3.95842	     1.68113
     3.96470	     1.67652
     3.97098	     1.67189
     3.97727	     1.66723
     3.98355	     1.66255
     3.98983	     1.65784
     3.99612	     1.65310
     4.00240	     1.64834
     4.00868	     1.64355
     4.01496	     1.63874
     4.02125	     1.63390
     4.02753	     1.62904
     4.03381	     1.62415
     4.04010	     1.61924
     4.04638	     1.61430
     4.05266	     1.60933
     4.05895	     1.60435
     4.06523	     1.59934
     4.07151	     1.59431
     4.07780	     1.58925
     4.08408	     1.58417
     4.09036	     1.57907
     4.09665	     1.57394
     4.10293	     1.56880
     4.10921	     1.56362
     4.11550	     1.55843
     4.12178	     1.55321
     4.12806	     1.54797
     4.13435	     1.54271
     4.14063	     1.53744
     4.14691	     1.53213
     4.15320	     1.52681
     4.15948	     1.52147
     4.16576	     1.51610
     4.17204	     1.51072
     4.17833	     1.50532
     4.18461	     1.49989
     4.19089	     1.49445
     4.19718	     1.48898
     4.20346	     1.48349
     4.20974	     1.47799
     4.21603	     1.47247
     4.22231	     1.46693
     4.22859	     1.46137
     4.23488	     1.45579
     4.24116	     1.45019
     4.24744	     1.44458
     4.25373	     1.43895
     4.26001	     1.43330
     4.26629	     1.42763
     4.27258	     1.42195
     4.27886	     1.41625
     4.28514	     1.41053
     4.29143	     1.40480
     4.29771	     1.39906
     4.30399	     1.39329
     4.31028	     1.38751
     4.31656	     1.38172
     4.32284	     1.37591
     4.32912	     1.37008
     4.33541	     1.36425
     4.34169	     1.35839
     4.34797	     1.35252
     4.35426	     1.34664
     4.36054	     1.34075
     4.36682	     1.33484
     4.37311	     1.32892
     4.37939	     1.32298
     4.38567	     1.31703
     4.39196	     1.31107
     4.39824	     1.30510
     4.40452	     1.29911
     4.41081	     1.29312
     4.41709	     1.28711
     4.42337	     1.28109
     4.42966	     1.27506
     4.43594	     1.26902
     4.44222	     1.26297
     4.44851	     1.25690
     4.45479	     1.25083
     4.46107	     1.24475
     4.46736	     1.23865
     4.47364	     1.23255
     4.47992	     1.22644
     4.48620	     1.22032
     4.49249	     1.21419
     4.49877	     1.20805
     4.50505	     1.20191
     4.51134	     1.19576
     4.51762	     1.18959
     4.52390	     1.18342
     4.53019	     1.17725
     4.53647	     1.17106
     4.54275	     1.16487
     4.54904	     1.15868
     4.55532	     1.15248
     4.56160	     1.14627
     4.56789	     1.14006
     4.57417	     1.13383
     4.58045	     1.12761
     4.58674	     1.12138
     4.59930	     1.10890
     4.60559	     1.10265
     4.61815	     1.09015
     4.62444	     1.08389
     4.63700	     1.07136
     4.64957	     1.05882
     4.66842	     1.03999
     4.76267	     0.94593
     4.78152	     0.92714
     4.79408	     0.91462
     4.80665	     0.90212
     4.81293	     0.89587
     4.82550	     0.88339
     4.83178	     0.87716
     4.84435	     0.86471
     4.85063	     0.85849
     4.85691	     0.85227
     4.86320	     0.84606
     4.86948	     0.83986
     4.87576	     0.83367
     4.88205	     0.82748
     4.88833	     0.82130
     4.89461	     0.81512
     4.90090	     0.80895
     4.90718	     0.80279
     4.91346	     0.79663
     4.91975	     0.79049
     4.92603	     0.78435
     4.93231	     0.77822
     4.93860	     0.77210
     4.94488	     0.76599
     4.95116	     0.75989
     4.95744	     0.75380
     4.96373	     0.74771
     4.97001	     0.74164
     4.97629	     0.73558
     4.98258	     0.72953
     4.98886	     0.72349
     4.99514	     0.71745
     5.00143	     0.71143
     5.00771	     0.70543
     5.01399	     0.69943
     5.02028	     0.69345
     5.02656	     0.68748
     5.03284	     0.68151
     5.03913	     0.67556
     5.04541	     0.66963
     5.05169	     0.66371
     5.05798	     0.65780
     5.06426	     0.65191
     5.07054	     0.64603
     5.07683	     0.64016
     5.08311	     0.63430
     5.08939	     0.62846
     5.09568	     0.62264
     5.10196	     0.61683
     5.10824	     0.61103
     5.11452	     0.60525
     5.12081	     0.59949
     5.12709	     0.59374
     5.13337	     0.58801
     5.13966	     0.58230
     5.14594	     0.57660
     5.15222	     0.57092
     5.15851	     0.56525
     5.16479	     0.55960
     5.17107	     0.55397
     5.17736	     0.54836
     5.18364	     0.54276
     5.18992	     0.53718
     5.19621	     0.53162
     5.20249	     0.52608
     5.20877	     0.52056
     5.21506	     0.51505
     5.22134	     0.50957
     5.22762	     0.50410
     5.23391	     0.49865
     5.24019	     0.49323
     5.24647	     0.48783
     5.25276	     0.48244
     5.25904	     0.47708
     5.26532	     0.47174
     5.27160	     0.46641
     5.27789	     0.46111
     5.28417	     0.45583
     5.29045	     0.45057
     5.29674	     0.44533
     5.30302	     0.44012
     5.30930	     0.43492
     5.31559	     0.42975
     5.32187	     0.42461
     5.32815	     0.41948
     5.33444	     0.41438
     5.34072	     0.40929
     5.34700	     0.40424
     5.35329	     0.39920
     5.35957	     0.39420
     5.36585	     0.38921
     5.37214	     0.38425
     5.37842	     0.37931
     5.38470	     0.37440
     5.39099	     0.36951
     5.39727	     0.36465
     5.40355	     0.35981
     5.40984	     0.35499
     5.41612	     0.35021
     5.42240	     0.34544
     5.42868	     0.34071
     5.43497	     0.33599
     5.44125	     0.33131
     5.44753	     0.32666
     5.45382	     0.32203
     5.46010	     0.31742
     5.46638	     0.31285
     5.47267	     0.30830
     5.47895	     0.30377
     5.48523	     0.29928
     5.49152	     0.29481
     5.49780	     0.29037
     5.50408	     0.28596
     5.51037	     0.28158
     5.51665	     0.27722
     5.52293	     0.27289
     5.52922	     0.26859
     5.53550	     0.26433
     5.54178	     0.26009
     5.54807	     0.25588
     5.55435	     0.25169
     5.56063	     0.24754
     5.56692	     0.24342
     5.57320	     0.23933
     5.57948	     0.23526
     5.58576	     0.23123
     5.59205	     0.22723
     5.59833	     0.22325
     5.60461	     0.21932
     5.61090	     0.21541
     5.61718	     0.21153
     5.62346	     0.20768
     5.62975	     0.20387
     5.63603	     0.20009
     5.64231	     0.19634
     5.64860	     0.19262
     5.65488	     0.18893
     5.66116	     0.18527
     5.66745	     0.18165
     5.67373	     0.17805
     5.68001	     0.17449
     5.68630	     0.17096
     5.69258	     0.16747
     5.69886	     0.16400
     5.70515	     0.16057
     5.71143	     0.15717
     5.71771	     0.15381
     5.72400	     0.15048
     5.73028	     0.14718
     5.73656	     0.14392
     5.74284	     0.14069
     5.74913	     0.13750
     5.75541	     0.13433
     5.76169	     0.13121
     5.76798	     0.12811
     5.77426	     0.12505
     5.78054	     0.12203
     5.78683	     0.11904
     5.79311	     0.11609
     5.79939	     0.11317
     5.80568	     0.11028
     5.81196	     0.10744
     5.81824	     0.10462
     5.82453	     0.10184
     5.83081	     0.09910
     5.83709	     0.09639
     5.84338	     0.09372
     5.84966	     0.09108
     5.85594	     0.08848
     5.86223	     0.08592
     5.86851	     0.08339
     5.87479	     0.08090
     5.88108	     0.07844
     5.88736	     0.07602
     5.89364	     0.07364
     5.89992	     0.07130
     5.90621	     0.06898
     5.91249	     0.06671
     5.91877	     0.06447
     5.92506	     0.06227
     5.93134	     0.06011
     5.93762	     0.05799
     5.94391	     0.05590
     5.95019	     0.05385
     5.95647	     0.05184
     5.96276	     0.04987
     5.96904	     0.04793
     5.97532	     0.04602
     5.98161	     0.04416
     5.98789	     0.04233
     5.99417	     0.04054
     6.00046	     0.03879
     6.00674	     0.03708
     6.01302	     0.03541
     6.01931	     0.03378
     6.02559	     0.03218
     6.03187	     0.03062
     6.03816	     0.02910
     6.04444	     0.02762
     6.05072	     0.02618
     6.05700	     0.02477
     6.06329	     0.02340
     6.06957	     0.02207
     6.07585	     0.02078
     6.08214	     0.01953
     6.08842	     0.01832
     6.09470	     0.01715
     6.10099	     0.01601
     6.10727	     0.01491
     6.11355	     0.01385
     6.11984	     0.01284
     6.12612	     0.01186
     6.13240	     0.01091
     6.13869	     0.01002
     6.14497	     0.00915
     6.15125	     0.00833
     6.15754	     0.00755
     6.16382	     0.00680
     6.17010	     0.00609
     6.17639	     0.00543
     6.18267	     0.00480
     6.18895	     0.00421
     6.19524	     0.00366
     6.20152	     0.00315
     6.20780	     0.00268
     6.21408	     0.00225
     6.22037	     0.00186
     6.22665	     0.00151
     6.23293	     0.00119
     6.23922	     0.00092
     6.24550	     0.00069
     6.25178	     0.00050
     6.25807	     0.00034
     6.26435	     0.00023
     6.27063	     0.00015
     6.27692	     0.00011
